time,Bx,By,Bz,BT
10.421,0.24,-7.86,14.16,16.20
10.442,0.24,-7.86,14.04,16.09
10.466,0.24,-7.86,13.98,16.04
10.484,0.24,-7.80,13.98,16.01
10.508,0.24,-7.80,13.98,16.01
10.521,0.18,-7.80,13.98,16.01
10.542,0.18,-7.68,14.04,16.00
10.565,0.12,-7.62,14.04,15.97
10.583,0.06,-7.56,14.10,16.00
10.605,0.00,-7.50,14.10,15.97
10.624,0.00,-7.44,14.10,15.94
10.645,0.00,-7.44,14.16,16.00
10.665,0.00,-7.38,14.16,15.97
10.685,0.00,-7.32,14.22,15.99
10.711,0.00,-7.32,14.22,15.99
10.730,0.06,-7.32,14.28,16.05
10.748,0.06,-7.32,14.28,16.05
10.770,0.06,-7.32,14.34,16.10
10.788,0.06,-7.32,14.40,16.15
10.810,0.06,-7.32,14.40,16.15
10.832,0.06,-7.32,14.46,16.21
10.849,0.06,-7.32,14.46,16.21
10.870,0.06,-7.32,14.46,16.21
10.896,0.00,-7.32,14.46,16.21
10.913,0.00,-7.32,14.52,16.26
10.933,0.00,-7.32,14.58,16.31
10.953,-0.06,-7.32,14.58,16.31
10.973,-0.06,-7.32,14.64,16.37
10.994,-0.06,-7.32,14.70,16.42
11.016,0.00,-7.32,14.82,16.53
11.034,0.00,-7.32,14.88,16.58
11.054,0.06,-7.32,15.00,16.69
11.086,0.12,-7.32,15.06,16.75
11.095,0.18,-7.32,15.06,16.75
11.114,0.24,-7.32,15.12,16.80
11.135,0.30,-7.32,15.12,16.80
11.155,0.30,-7.32,15.12,16.80
11.175,0.36,-7.38,15.12,16.83
11.217,0.36,-7.38,15.12,16.83
11.228,0.36,-7.44,15.12,16.86
11.249,0.36,-7.44,15.18,16.91
11.267,0.36,-7.44,15.24,16.96
11.287,0.36,-7.50,15.24,16.99
11.308,0.36,-7.50,15.30,17.04
11.328,0.36,-7.56,15.36,17.12
11.348,0.30,-7.56,15.36,17.12
11.368,0.30,-7.62,15.42,17.20
11.388,0.24,-7.62,15.42,17.20
11.409,0.18,-7.62,15.42,17.20
11.429,0.12,-7.68,15.36,17.17
11.449,0.06,-7.68,15.30,17.12
11.469,0.00,-7.68,15.24,17.07
11.490,0.00,-7.68,15.18,17.01
11.513,0.00,-7.68,15.06,16.91
11.535,0.00,-7.68,15.00,16.85
11.555,0.00,-7.74,14.88,16.77
11.575,0.00,-7.80,14.76,16.69
11.599,0.06,-7.86,14.70,16.67
11.623,0.06,-7.92,14.64,16.65
11.636,0.06,-7.98,14.58,16.62
11.656,0.06,-8.04,14.58,16.65
11.676,0.00,-8.16,14.52,16.66
11.711,0.00,-8.22,14.52,16.69
11.718,0.00,-8.22,14.46,16.63
11.738,-0.06,-8.28,14.46,16.66
11.759,-0.06,-8.22,14.46,16.63
11.782,-0.12,-8.22,14.52,16.69
11.809,-0.12,-8.22,14.52,16.69
11.822,-0.12,-8.22,14.52,16.69
11.843,-0.12,-8.22,14.58,16.74
11.863,-0.12,-8.22,14.58,16.74
11.884,-0.12,-8.22,14.64,16.79
11.910,-0.12,-8.22,14.64,16.79
11.927,-0.12,-8.22,14.64,16.79
11.945,-0.12,-8.22,14.64,16.79
11.966,-0.18,-8.22,14.64,16.79
11.987,-0.18,-8.22,14.64,16.79
12.015,-0.18,-8.22,14.64,16.79
12.028,-0.24,-8.22,14.64,16.79
12.050,-0.24,-8.22,14.64,16.79
12.068,-0.30,-8.22,14.64,16.79
12.089,-0.30,-8.22,14.64,16.79
12.109,-0.30,-8.22,14.64,16.79
12.132,-0.30,-8.22,14.64,16.79
12.152,-0.30,-8.22,14.64,16.79
12.173,-0.30,-8.22,14.64,16.79
12.213,-0.30,-8.22,14.64,16.79
12.215,-0.30,-8.22,14.64,16.79
12.233,-0.30,-8.16,14.64,16.76
12.253,-0.30,-8.16,14.64,16.76
12.273,-0.30,-8.16,14.64,16.76
12.303,-0.30,-8.10,14.64,16.73
12.319,-0.30,-8.04,14.64,16.71
12.335,-0.30,-7.98,14.64,16.68
12.355,-0.30,-7.98,14.64,16.68
12.377,-0.24,-7.98,14.64,16.68
12.397,-0.24,-7.92,14.64,16.65
12.426,-0.24,-7.92,14.64,16.65
12.441,-0.24,-7.86,14.64,16.62
12.459,-0.24,-7.86,14.64,16.62
12.483,-0.24,-7.86,14.58,16.57
12.505,-0.24,-7.86,14.58,16.57
12.520,-0.24,-7.86,14.52,16.51
12.545,-0.30,-7.80,14.52,16.49
12.562,-0.30,-7.80,14.52,16.49
12.581,-0.30,-7.68,14.46,16.38
12.601,-0.30,-7.62,14.46,16.35
12.625,-0.36,-7.62,14.46,16.35
12.644,-0.36,-7.62,14.46,16.35
12.666,-0.36,-7.56,14.46,16.32
12.685,-0.36,-7.56,14.46,16.32
12.715,-0.42,-7.62,14.46,16.35
12.731,-0.42,-7.62,14.46,16.35
12.751,-0.42,-7.68,14.46,16.38
12.768,-0.42,-7.68,14.46,16.38
12.786,-0.42,-7.68,14.46,16.38
12.809,-0.42,-7.68,14.40,16.33
12.829,-0.42,-7.68,14.40,16.33
12.849,-0.48,-7.68,14.34,16.27
12.870,-0.48,-7.68,14.28,16.22
12.891,-0.48,-7.68,14.22,16.17
12.910,-0.48,-7.68,14.16,16.12
12.930,-0.48,-7.68,14.10,16.06
12.952,-0.48,-7.68,14.10,16.06
12.973,-0.48,-7.68,14.04,16.01
13.005,-0.48,-7.68,14.04,16.01
13.015,-0.48,-7.68,14.04,16.01
13.035,-0.48,-7.68,14.10,16.06
13.056,-0.48,-7.74,14.10,16.09
13.077,-0.48,-7.74,14.10,16.09
