time,Bx,By,Bz,BT
9.314,-16.44,-8.04,-2.64,18.49
9.334,-16.38,-8.04,-2.70,18.45
9.364,-16.32,-7.98,-2.70,18.37
9.376,-16.32,-7.98,-2.76,18.37
9.397,-16.26,-7.98,-2.76,18.32
9.418,-16.26,-7.92,-2.82,18.30
9.436,-16.26,-7.92,-2.88,18.31
9.460,-16.26,-7.86,-2.82,18.28
9.477,-16.26,-7.86,-2.82,18.28
9.497,-16.26,-7.80,-2.82,18.25
9.520,-16.26,-7.80,-2.82,18.25
9.539,-16.26,-7.80,-2.82,18.25
9.562,-16.26,-7.74,-2.88,18.24
9.585,-16.26,-7.74,-2.88,18.24
9.604,-16.26,-7.68,-2.94,18.22
9.624,-16.26,-7.74,-3.06,18.27
9.644,-16.26,-7.74,-3.12,18.28
9.664,-16.26,-7.80,-3.24,18.32
9.685,-16.26,-7.80,-3.30,18.33
9.706,-16.26,-7.86,-3.36,18.37
9.724,-16.26,-7.86,-3.36,18.37
9.740,-16.26,-7.92,-3.42,18.41
9.766,-16.26,-7.98,-3.42,18.43
9.777,-16.26,-7.98,-3.42,18.43
9.798,-16.26,-8.04,-3.42,18.46
9.818,-16.26,-8.04,-3.42,18.46
9.840,-16.26,-8.04,-3.42,18.46
9.875,-16.26,-8.04,-3.42,18.46
9.877,-16.26,-8.04,-3.42,18.46
9.897,-16.26,-8.04,-3.42,18.46
9.918,-16.26,-8.04,-3.48,18.47
9.940,-16.26,-8.04,-3.48,18.47
9.965,-16.26,-7.98,-3.48,18.44
9.978,-16.26,-7.98,-3.48,18.44
9.998,-16.26,-7.98,-3.42,18.43
10.019,-16.26,-7.92,-3.42,18.41
10.039,-16.26,-7.92,-3.36,18.40
10.062,-16.26,-7.86,-3.36,18.37
10.085,-16.26,-7.86,-3.30,18.36
10.105,-16.26,-7.86,-3.24,18.35
10.122,-16.26,-7.86,-3.18,18.34
10.142,-16.26,-7.86,-3.12,18.33
10.163,-16.26,-7.86,-3.06,18.32
10.183,-16.26,-7.86,-3.00,18.31
10.203,-16.26,-7.86,-3.00,18.31
10.224,-16.26,-7.86,-3.00,18.31
10.243,-16.26,-7.86,-3.00,18.31
10.263,-16.26,-7.86,-3.00,18.31
10.285,-16.26,-7.86,-3.00,18.31
10.305,-16.26,-7.86,-3.00,18.31
10.325,-16.26,-7.86,-3.00,18.31
10.355,-16.26,-7.86,-3.00,18.31
10.367,-16.26,-7.86,-3.00,18.31
10.388,-16.26,-7.86,-2.94,18.30
10.408,-16.26,-7.86,-2.88,18.29
10.429,-16.26,-7.86,-2.88,18.29
10.455,-16.26,-7.86,-2.82,18.28
10.480,-16.26,-7.86,-2.82,18.28
10.488,-16.26,-7.86,-2.70,18.26
10.509,-16.26,-7.86,-2.58,18.24
10.530,-16.26,-7.86,-2.40,18.22
10.564,-16.26,-7.86,-2.34,18.21
10.576,-16.26,-7.86,-2.28,18.20
10.596,-16.26,-7.86,-2.16,18.19
10.622,-16.26,-7.86,-2.10,18.18
10.634,-16.26,-7.86,-2.04,18.17
10.655,-16.26,-7.86,-2.04,18.17
10.680,-16.26,-7.86,-2.04,18.17
