time,Bx,By,Bz,BT
4.302,15.00,-1.20,-0.72,15.07
4.322,15.00,-1.26,-0.72,15.07
4.342,15.00,-1.26,-0.72,15.07
4.363,15.06,-1.32,-0.72,15.13
4.383,15.06,-1.38,-0.72,15.14
4.404,15.12,-1.38,-0.66,15.20
4.426,15.12,-1.44,-0.66,15.20
4.445,15.12,-1.38,-0.60,15.19
4.480,15.18,-1.32,-0.60,15.25
4.485,15.18,-1.32,-0.48,15.24
4.506,15.18,-1.38,-0.30,15.25
4.526,15.18,-1.38,-0.18,15.24
4.546,15.18,-1.44,0.00,15.25
4.581,15.24,-1.44,0.12,15.31
4.591,15.24,-1.44,0.30,15.31
4.612,15.30,-1.50,0.42,15.38
4.633,15.30,-1.50,0.54,15.38
4.658,15.30,-1.50,0.60,15.39
4.678,15.36,-1.50,0.48,15.44
4.702,15.36,-1.50,0.48,15.44
4.721,15.36,-1.50,0.36,15.44
4.741,15.36,-1.44,0.30,15.43
4.773,15.36,-1.38,0.24,15.42
4.792,15.36,-1.32,0.18,15.42
4.803,15.36,-1.32,0.12,15.42
4.823,15.36,-1.26,0.12,15.41
4.844,15.30,-1.20,0.12,15.35
4.867,15.30,-1.14,0.06,15.34
4.884,15.30,-1.14,0.06,15.34
4.914,15.24,-1.14,0.06,15.28
4.924,15.18,-1.14,0.06,15.22
4.946,15.06,-1.14,0.06,15.10
4.965,15.00,-1.14,0.06,15.04
4.995,14.94,-1.14,0.06,14.98
5.005,14.88,-1.14,0.06,14.92
5.027,14.82,-1.14,0.06,14.86
5.047,14.76,-1.14,0.06,14.80
5.066,14.70,-1.14,0.06,14.74
5.095,14.76,-1.14,0.06,14.80
5.107,14.76,-1.14,0.06,14.80
5.130,14.76,-1.14,0.06,14.80
5.152,14.76,-1.14,0.06,14.80
5.174,14.82,-1.14,0.06,14.86
5.195,14.82,-1.14,0.06,14.86
5.215,14.82,-1.14,0.06,14.86
5.236,14.82,-1.14,0.00,14.86
5.253,14.82,-1.14,-0.06,14.86
5.281,14.82,-1.14,-0.12,14.86
5.296,14.82,-1.14,-0.18,14.86
5.313,14.82,-1.14,-0.30,14.87
5.333,14.82,-1.14,-0.36,14.87
5.355,14.82,-1.14,-0.42,14.87
5.372,14.82,-1.14,-0.42,14.87
5.396,14.82,-1.14,-0.48,14.87
5.414,14.82,-1.14,-0.48,14.87
5.433,14.76,-1.14,-0.54,14.81
5.453,14.76,-1.14,-0.48,14.81
5.474,14.76,-1.14,-0.48,14.81
5.508,14.76,-1.14,-0.42,14.81
5.518,14.70,-1.14,-0.24,14.75
5.534,14.70,-1.14,-0.12,14.74
5.554,14.70,-1.14,0.00,14.74
5.575,14.70,-1.14,0.12,14.74
5.595,14.76,-1.14,0.24,14.81
5.617,14.76,-1.14,0.36,14.81
5.638,14.76,-1.14,0.42,14.81
5.656,14.76,-1.14,0.48,14.81
5.677,14.82,-1.14,0.42,14.87
5.697,14.82,-1.14,0.42,14.87
5.720,14.88,-1.14,0.42,14.93
5.738,14.88,-1.14,0.42,14.93
5.757,14.94,-1.14,0.42,14.99
5.796,14.94,-1.14,0.42,14.99
5.804,14.94,-1.14,0.42,14.99
5.822,15.00,-1.14,0.42,15.05
5.841,15.00,-1.14,0.42,15.05
5.882,15.00,-1.14,0.42,15.05
5.883,15.00,-1.14,0.36,15.05
5.905,15.00,-1.14,0.36,15.05
5.926,15.00,-1.14,0.30,15.05
5.946,15.00,-1.14,0.24,15.05
5.966,15.00,-1.14,0.18,15.04
5.991,15.00,-1.14,0.12,15.04
6.007,15.00,-1.14,0.06,15.04
6.028,14.94,-1.14,0.00,14.98
6.048,14.94,-1.14,-0.06,14.98
6.073,14.94,-1.14,-0.12,14.98
6.089,14.88,-1.14,-0.06,14.92
6.111,14.88,-1.14,-0.06,14.92
6.132,14.82,-1.14,-0.06,14.86
6.151,14.82,-1.14,-0.06,14.86
6.171,14.82,-1.14,0.00,14.86
6.196,14.82,-1.14,0.00,14.86
